,(0:0),(1:0),(2:0),(3:0),(4:0),(5:0),(0:1),(1:1),(2:1),(3:1),(4:1),(5:1),(0:2),(1:2),(2:2),(3:2),(4:2),(5:2),(0:3),(1:3),(2:3),(3:3),(4:3),(5:3),(0:4),(1:4),(2:4),(3:4),(4:4),(5:4),(0:5),(1:5),(2:5),(3:5),(4:5),(5:5),
 iteration 10,10.466174574128358,0.0,10.243117129695412,9.962519177637752,8.6287674216284,10.355534562848502,9.880344656031392,8.373644133916601,9.891341596675755,10.859360067459242,0.0,8.78012526149365,9.439126930799402,9.024445367939164,8.67908773878189,10.466635331681038,11.429361360287908,11.137813265732166,9.024445367939164,8.76012989022537,8.522401554084317,9.140967803868879,11.023944392774977,12.019452984188533,8.648500515563565,0.0,0.0,0.0,9.659928055233669,11.491200512546923,8.236116526672463,7.87457564696207,7.519683276218359,7.873295864789087,9.923657743826503,11.056784773693602,
 iteration 11,11.361512828387074,0.0,11.11290676114475,10.822788200091246,9.385896229213479,11.155985022190151,10.765463050287414,9.248657596511352,10.752115903559732,11.711184375603146,0.0,9.574004939350344,10.314140393402752,9.88947214213327,9.530930435526924,11.310326913263362,12.27442007506858,11.973910058196466,9.88947214213327,9.615237432495093,9.36536122333736,9.976320171299704,11.858922241847651,12.847295913469184,9.504865038651136,0.0,0.0,0.0,10.48622814375362,12.31082380044135,9.082811635801521,8.712752793653298,8.349397501264647,8.59899322372471,10.737552243635765,11.867811814665156,
 iteration 12,12.247897700103204,0.0,11.973055955989004,11.673523602137037,10.13463441958467,11.943311462310309,11.641732922514816,10.114927318757552,11.603445374885002,12.55357903819086,0.0,10.37898974408297,11.180410115649801,10.745851059482852,10.373490356210796,12.144577730943821,13.109070990579205,12.799683615733631,10.745851059482852,10.461724055109622,10.199170740533475,10.80225676816324,12.683689940020342,13.6649170231565,10.352677316763344,0.0,0.0,0.0,11.302390574971414,13.120322505505813,9.921081313392598,9.542621453350293,9.170936896303832,9.315441706108274,11.541261296256915,12.668793662341892,
 iteration 13,13.125418723102172,0.0,12.823671693397769,12.514831142563494,10.875075072449173,12.718122945090952,12.509240992582887,10.972535925571448,12.445433362583502,13.38664849258695,0.0,11.192389392989464,12.03801872246378,11.59366076453597,11.206868834218634,12.969503648783851,13.933533763725963,13.615354204121088,11.59366076453597,11.299669644514365,11.023930831556243,11.618901346222891,13.498456759439524,14.472534534140907,11.192009434231633,0.0,0.0,0.0,12.10862634844335,13.919913287580567,10.750978045819,10.364213660052007,9.984302724229348,10.022907675540196,12.335023457400105,13.459949218618268,
 iteration 14,13.99416453587115,0.0,13.664859761931197,13.346815415329404,11.607310241113357,13.48097125794626,13.36807422730723,11.821568260347963,13.278182389990066,14.210496066316013,0.0,11.999453629475816,12.887051057240305,12.432984147830307,12.031166744736936,13.785218234860112,14.748015412330103,14.42112919165338,12.432984147830307,12.129158028040873,11.839741939883767,12.426374513242214,14.30342020225637,15.270353838692808,12.022941313059468,0.0,0.0,0.0,12.905134224153414,14.709799943906368,11.572573498824328,11.177592515759164,10.78954521187867,10.721606438139363,13.119055391619469,14.24148301198738,
 iteration 15,14.854222890512439,0.0,14.49672477399831,14.16957985768956,12.331430961160356,14.232357055984995,14.21831913556372,12.662109443776115,14.101793966505785,15.025223960539492,0.0,12.797426138425688,13.727592240668457,13.263905130020666,12.846484034595779,14.591832821992941,15.552711445916428,15.217204285170085,13.263905130020666,12.950273922896907,12.64670355057763,13.224793846548977,15.09876708600475,16.05856876539977,12.845555242962144,0.0,0.0,0.0,13.692102014753683,15.490174756103965,12.385946187869786,11.982832698913187,11.586733449491224,11.411730907538416,13.893559128724949,15.013587578764863,
 iteration 16,15.705680661607314,0.0,15.319370179543762,14.983226760203339,13.04752725923592,14.97273533554699,15.06006151334764,13.494244161377214,14.916368526268416,15.830933250275027,0.0,13.585916169262994,14.559726958269554,14.086507477188325,13.652919562423532,15.38945660404348,16.347806893197955,16.003764591419195,14.086507477188325,13.763101813681985,13.444913963802305,14.014274054333336,15.884674498566358,16.83736263953665,13.65993386003966,0.0,0.0,0.0,14.469707603179465,16.261219564082086,13.191176726942926,12.780012842123607,12.37594339396116,12.093460189796465,14.658724768840308,15.776444817165928,
 iteration 17,16.54862385499124,0.0,16.132898279233622,15.787857278190389,13.755688162991145,15.702520312108492,15.893386354950826,14.318056405339043,15.722005413058824,16.62772389199684,0.0,14.364992957918075,15.383539202231386,14.90087436796342,14.450571053371272,16.178196739171852,17.133477231141296,16.78098556292854,14.90087436796342,14.567725544271836,14.23447023453196,14.794927146000841,16.66131065583212,17.606909222080912,14.466159403714883,0.0,0.0,0.0,15.238119828977933,17.023106703801023,13.988346015079776,13.56921258668366,13.15725316065777,12.775049620820655,15.414731910379423,16.5302270054374,
 iteration 18,17.383137616441328,0.0,16.937410237338007,16.58357144382024,14.456001711641756,16.422089767541202,16.71837782549023,15.133629384345205,16.518802882329563,17.415694734163946,0.0,15.134809171507182,16.19911218123755,15.707088238851432,15.239535095629318,16.95815844980814,17.90988922432484,17.54903384938121,15.707088238851432,15.36422817403529,15.015468172422,15.566862596245205,17.428835675679558,18.367373553588205,15.264313447105883,0.0,0.0,0.0,15.997499281883329,17.775999847024607,14.777534551682441,14.35051145709586,13.930741199830162,13.52260685518798,16.161750676340436,17.275097669339495,
 iteration 19,18.209306240276913,0.0,17.733006094406367,17.37046817839028,15.148554966737635,17.13178892458624,17.535119256073028,15.941045495506305,17.306858109507196,18.194943528808544,0.0,15.895527024668343,17.00652829239865,16.505230732455516,16.0199071517738,17.729445116050133,18.677201683242977,18.30806806602241,16.505230732455516,16.152691931687645,15.788002362470204,16.33018749768853,18.187402277204836,19.119282577833513,16.054476802631733,0.0,0.0,0.0,16.747999017308118,18.520347689213086,15.558822182553387,15.123988437087263,14.696485599739486,14.277092752320895,16.899942573788092,18.011444353926397,
