,(0:0),(1:0),(2:0),(3:0),(4:0),(5:0),(0:1),(1:1),(2:1),(3:1),(4:1),(5:1),(0:2),(1:2),(2:2),(3:2),(4:2),(5:2),(0:3),(1:3),(2:3),(3:3),(4:3),(5:3),(0:4),(1:4),(2:4),(3:4),(4:4),(5:4),(0:5),(1:5),(2:5),(3:5),(4:5),(5:5)
 iteration 183,84.26467179,0,79.19434037,78.25237675,72.533782,75.88078741,82.8366009,80.49587358,79.24110445,79.3286414,0,74.91181707,81.56135638,80.31086573,77.91652772,78.24284554,78.33855615,77.30371765,80.31086573,79.12859724,77.03512382,76.22420811,77.21137292,77.52951014,79.22207402,0,0,0,75.1174699,76.34380167,78.01669257,76.95729936,75.91148295,74.87907039,74.29792534,75.21164674
 iteration 184,84.42202507,0,79.34617972,78.40269513,72.68082012,76.02605147,82.99215883,80.64965699,79.39313392,79.47893927,0,75.05708416,81.71513978,80.46289754,78.06682836,78.39145297,78.48547373,77.44898474,80.46289754,79.27891897,77.18373764,76.3711467,77.35666022,77.67332678,79.37258551,0,0,0,75.26114078,76.48616411,78.16551292,77.10463151,76.05734178,75.02347063,74.44010012,75.35256492
 iteration 185,84.57780482,0,79.49650067,78.55151034,72.82638815,76.16986319,83.14616118,80.80190256,79.54364309,79.62773416,0,75.20089858,81.86738535,80.61340903,78.21562599,78.53857432,78.63092213,77.59279917,80.61340903,79.42773748,77.33086532,76.51661589,77.50049465,77.81570526,79.52159189,0,0,0,75.40337495,76.62710293,78.31284507,77.25049034,76.20174202,75.16642686,74.58085314,75.49207391
 iteration 186,84.73202677,0,79.64531842,78.69883739,72.97050077,76.31223706,83.29862351,80.95262567,79.69264717,79.7750411,0,75.34327486,82.01810847,80.76241541,78.36293564,78.68422447,78.77491604,77.73517544,80.76241541,79.5750678,77.47652172,76.6606304,77.64289073,77.95665995,79.6691082,0,0,0,75.54418677,76.76663236,78.4587039,77.39489057,76.34469825,75.30795354,74.72019864,75.63018781
 iteration 187,84.8847065,0,79.79264798,78.84469117,73.11317251,76.45318743,83.44956122,81.10184155,79.84016121,79.92087497,0,75.48422737,82.16732435,80.90993172,78.5087722,78.82841811,78.91747001,77.87612796,80.90993172,79.72092482,77.62072155,76.80320476,77.78386286,78.0962051,79.81514935,0,0,0,75.68359048,76.9047665,78.60310414,77.53784681,76.48622493,75.44806494,74.85815068,75.76692058
 iteration 188,85.03585944,0,79.93850425,78.98908642,73.25441774,76.59272851,83.59898955,81.24956528,79.98620011,80.0652505,0,75.62377036,82.31504808,81.05597287,78.6531504,78.97116982,79.05859845,78.01567094,81.05597287,79.86532326,77.76347939,76.94435338,77.92342526,78.23435479,79.95973009,0,0,0,75.82160015,77.0415193,78.74606037,77.67937348,76.62633633,75.58677524,74.9947232,75.90228602
 iteration 189,85.18550085,0,80.08290196,79.13203771,73.3942507,76.73087437,83.7469236,81.39581177,80.13077862,80.20818228,0,75.76191792,82.46129456,81.20055361,78.79608481,79.11249401,79.1983156,78.1538185,81.20055361,80.00827773,77.90480965,77.08409051,78.06159204,78.37112299,80.10286502,0,0,0,75.95822972,77.17690456,78.88758705,77.81948489,76.76504663,75.72409843,75.12993,76.0362978
 iteration 190,85.33364584,0,80.22585569,79.27355949,73.53268551,76.86763894,83.8933783,81.54059579,80.27391134,80.34968474,0,75.898684,82.60607859,81.34368854,78.93758988,79.25240495,79.33663558,78.29058459,81.34368854,80.14980265,78.04472661,77.22243027,78.19837715,78.50652351,80.2445686,0,0,0,76.093493,77.31093598,79.02769845,77.95819518,76.90236982,75.86004838,75.26378473,76.16896946
 iteration 191,85.48030938,0,80.36737989,79.41366605,73.66973612,77.00303601,84.03836846,81.68393197,80.41561274,80.48977217,0,76.03408243,82.74941477,81.48539212,79.07767989,79.39091679,79.47357236,78.42598301,81.48539212,80.28991232,78.18324439,77.35938663,78.33379441,78.64057002,80.38485515,0,0,0,76.22740364,77.44362708,79.16640874,78.09551837,77.03831977,75.99463884,75.39630091,76.30031441
 iteration 192,85.62550628,0,80.50748884,79.55237154,73.80541635,77.13707925,84.18190872,81.82583479,80.55589713,80.62845873,0,76.16812686,82.89131759,81.62567867,79.21636901,79.52804351,79.60913977,78.56002745,81.62567867,80.42862089,78.320377,77.49497343,78.4678575,78.77327606,80.52373883,0,0,0,76.35997518,77.57499127,79.30373193,78.23146833,77.17291023,76.12788339,75.52749193,76.43034591
 iteration 193,85.76925122,0,80.6461967,79.68968999,73.93973991,77.26978217,84.32401358,81.96631858,80.69477867,80.76575843,0,76.30083086,83.03180138,81.76456235,79.35367124,79.66379896,79.74335151,78.69273144,81.76456235,80.56594238,78.45613828,77.62920436,78.60057996,78.90465505,80.66123367,0,0,0,76.491221,77.70504181,79.43968189,78.36605879,77.30615479,76.2597955,75.65737104,76.55907709
 iteration 194,85.91155871,0,80.78351749,79.82563524,74.07272033,77.40115817,84.46469738,82.10539754,80.83227139,80.90168512,0,76.43220781,83.17088034,81.90205719,79.48960044,79.79819686,79.87622113,78.8241084,81.90205719,80.70189065,78.59054195,77.76209298,78.73197519,79.03472024,80.79735356,0,0,0,76.62115437,77.83379185,79.57427235,78.49930334,77.43806689,76.39038849,75.78595135,76.68652097
 iteration 195,86.05244312,0,80.91946506,79.96022105,74.20437104,77.5312205,84.60397435,82.2430857,80.96838919,81.03625255,0,76.562271,83.3085685,82.03817709,79.62417035,79.93125078,80.00776205,78.95417158,82.03817709,80.83647944,78.72360159,77.89365272,78.86205647,79.16348479,80.93211226,0,0,0,76.7497884,77.9612544,79.7075169,78.63121545,77.56865988,76.51967555,75.91324587,76.8126904
 iteration 196,86.19191869,0,81.05405316,80.09346099,74.33470533,77.65998229,84.74185855,82.37939699,81.10314581,81.16947431,0,76.69103355,83.44487978,82.17293579,79.75739456,80.06297416,80.13798757,79.08293413,82.17293579,80.96972234,78.85533063,78.02389686,78.99083694,79.29096168,81.06552337,0,0,0,76.87713609,78.08744231,79.83942901,78.76180844,77.69794694,76.64766973,76.03926744,76.93759814
 iteration 197,86.3299995,0,81.18729538,80.22536854,74.46373636,77.78745655,84.87836391,82.51434516,81.23655486,81.30136385,0,76.81850848,83.57982795,82.30634689,79.88928653,80.1933803,80.26691083,79.21040906,82.30634689,81.10163282,78.98574237,78.15283855,79.1183296,79.41716381,81.19760037,0,0,0,77.0032103,78.21236835,79.970022,78.89109549,77.82594112,76.77438398,76.16402879,77.0612568
 iteration 198,86.46669951,0,81.31920518,80.35595701,74.59147714,77.91365612,85.01350421,82.64794385,81.36862982,81.43193449,0,76.94470865,83.71342664,82.43842389,80.01985958,80.32248239,80.39454485,79.33660924,82.43842389,81.23222418,79.11485,78.28049083,79.24454733,79.54210392,81.3283566,0,0,0,77.12802378,78.33604513,80.09930906,79.01908968,77.95265537,76.89983108,76.28754253,77.18367887
 iteration 199,86.60203251,0,81.44979588,80.48523959,74.71794057,78.03859376,85.14729311,82.78020655,81.49938404,81.56119943,0,77.06964683,83.84568935,82.56918012,80.1491269,80.45029345,80.52090254,79.46154741,82.56918012,81.36150964,79.24266656,78.40686659,79.36950289,79.66579463,81.45780526,0,0,0,77.25158911,78.45848513,80.22730324,79.14580392,78.07810247,77.02402371,76.40982113,77.30487673
 iteration 200,86.73601219,0,81.57908067,80.61322935,74.84313942,78.16228208,85.27974412,82.91114662,81.62883071,81.68917172,0,77.19333563,83.97662942,82.69862879,80.27710155,80.5768264,80.64599665,79.58523621,82.69862879,81.48950224,79.36920494,78.53197859,79.4932089,79.78824843,81.58595944,0,0,0,77.3739188,78.57970074,80.35401749,79.27125103,78.2022951,77.14697442,76.53087695,77.4248626
 iteration 201,86.86865207,0,81.70707261,80.73993922,74.96708633,78.28473356,85.41087062,83.0407773,81.75698291,81.81586428,0,77.31578753,84.10626009,82.82678297,80.40379645,80.70209403,80.76983982,79.70768812,82.82678297,81.61621491,79.49447795,78.65583947,79.61567784,79.90947769,81.71283208,0,0,0,77.49502518,78.6997042,80.47946459,79.39544366,78.32524581,77.26869561,76.65072221,77.54364862
 iteration 202,86.99996555,0,81.83378464,80.86538198,75.08979381,78.40596057,85.54068586,83.16911166,81.8838536,81.94128992,0,77.43701492,84.23459446,82.9536556,80.5292244,80.82610897,80.89244456,79.8289155,82.9536556,81.74166046,79.61849822,78.77846174,79.73692209,80.02949466,81.83843599,0,0,0,77.6149205,78.81850761,80.60365722,79.51839436,78.446967,77.3891996,76.76936901,77.66124678
