,(0:0),(1:0),(2:0),(3:0),(4:0),(5:0),(0:1),(1:1),(2:1),(3:1),(4:1),(5:1),(0:2),(1:2),(2:2),(3:2),(4:2),(5:2),(0:3),(1:3),(2:3),(3:3),(4:3),(5:3),(0:4),(1:4),(2:4),(3:4),(4:4),(5:4),(0:5),(1:5),(2:5),(3:5),(4:5),(5:5)
 iteration 0,0.896,0,0.896,1.605632,1.231660544,0.943475151,0.152704,-0.015058432,-0.723222278,-0.453834476,0,-0.61059596,-0.024882304,-0.15719757,-0.236099481,-1.031920402,-0.753280958,0.142952481,-0.042463348,-0.089193531,-0.230015125,-0.420332099,-1.207477837,-0.982170151,-0.044203871,0,0,0,-0.927540306,-1.535846767,-0.044376183,-0.075145937,-0.099515582,-0.118816341,-0.321929032,-0.447016624
 iteration 1,1.709453696,0,1.622736994,2.295235654,2.021695426,1.602137817,0.351714136,0.125504251,-0.563323519,-0.361084017,0,-1.014828061,-0.029090957,-0.155445276,-0.241653185,-1.068749518,-0.976564739,-0.171142096,-0.08088716,-0.128281872,-0.284294406,-0.508580249,-1.391301957,-1.310903047,-0.087410537,0,0,0,-1.71222179,-2.234113705,-0.088192822,-0.124727611,-0.158488353,-0.189048411,-0.487107273,-0.691220863
 iteration 2,2.453942943,0,2.286089634,2.898064002,2.655562384,2.129349074,0.582617942,0.322469249,-0.342205147,-0.129924342,0,-1.313881333,-0.01336869,-0.127363452,-0.20289531,-1.02390504,-0.981351595,-0.237084117,-0.114039774,-0.155628388,-0.307489465,-0.5312477,-1.487411944,-1.462678844,-0.129250172,0,0,0,-2.35955706,-2.786005263,-0.131375572,-0.16874552,-0.205027146,-0.239813085,-0.607751732,-0.865584758
 iteration 3,3.140142338,0,2.899027554,3.466075649,3.230933266,2.607630453,0.834984001,0.544622803,-0.101741648,0.121195505,0,-1.509909929,0.020785476,-0.081027456,-0.144687625,-0.955187767,-0.936916301,-0.236323999,-0.141057506,-0.175146473,-0.319481539,-0.53618649,-1.551010563,-1.567610963,-0.169337011,0,0,0,-2.890486659,-3.23415181,-0.173819999,-0.211077052,-0.2477684,-0.283715564,-0.707028327,-1.005840355
 iteration 4,3.776530239,0,3.468961128,3.998557057,3.766581976,3.059807257,1.101241585,0.782079275,0.148509862,0.378913371,0,-1.620323821,0.071520321,-0.019269559,-0.072187687,-0.872742687,-0.873516967,-0.207430982,-0.161401397,-0.187077094,-0.322940312,-0.531252715,-1.593388509,-1.642680396,-0.207301831,0,0,0,-3.325006701,-3.599608861,-0.2153965,-0.252387284,-0.288948872,-0.325023189,-0.792589833,-1.12367062
